"MNO","CNO","TITLE","SINGER","ALBUM","POSTER","IDCREMENT","STATE","KEY","HIT"
40,1,"오늘만 I LOVE YOU","BOYNEXTDOOR","오늘만 I LOVE YOU","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/907/714/85907714_1736129489622_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
41,1,"I Don't Think That I Like Her","Charlie Puth","CHARLIE","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
42,1,"다정히 내 이름을 부르면","경서예지 & 전건호","다정히 내 이름을 부르면","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/051/769/82051769_1621328428038_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
43,1,"SPOT! (Feat. JENNIE)","지코 (ZICO)","SPOT!","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/072/667/85072667_1714091257020_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
44,1,"number one girl","로제 (ROSÉ)","number one girl","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/798/066/85798066_1732235885781_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
45,1,"REBEL HEART","IVE (아이브)","IVE EMPATHY","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/919/941/85919941_1736491636347_1_140x140.JPG/dims/resize/Q_80,0",6,"상승","",0
46,1,"청혼하지 않을 이유를 못 찾았어","이무진","청혼하지 않을 이유를 못 찾았어","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/950/772/84950772_1712015258001_1_140x140.JPG/dims/resize/Q_80,0",6,"상승","",0
47,1,"이제 나만 믿어요","임영웅","내일은 미스터트롯 우승자 특전곡","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/410/156/81410156_1585878705990_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
48,1,"우리들의 블루스","임영웅","IM HERO","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
49,1,"너의 모든 순간","성시경","별에서 온 그대 OST Part.7 (SBS 수목드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/401/547/80401547_1392172764399_1_140x140.JPG/dims/resize/Q_80,0",2,"하강","",0
50,1,"사건의 지평선","윤하 (YOUNHA)","YOUNHA 6th Album Repackage 'END THEORY : Final Edition'","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/614/128/82614128_1648619377015_1_140x140.JPG/dims/resize/Q_80,0",2,"하강","",0
51,2,"HOME SWEET HOME (Feat. 태양 & 대성)","G-DRAGON","HOME SWEET HOME","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/795/386/85795386_1732170719581_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
52,2,"APT.","로제 (ROSÉ) & Bruno Mars","APT.","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/693/971/85693971_1729212690074_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
53,2,"Whiplash","aespa","Whiplash - The 5th Mini Album","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/694/834/85694834_1729236989658_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
54,2,"나는 반딧불","황가람","나는 반딧불","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/694/890/85694890_1729238188939_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
55,2,"HAPPY","DAY6 (데이식스)","Fourever","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/877/280/84877280_1710728168568_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
56,2,"toxic till the end","로제 (ROSÉ)","rosie","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/838/476/85838476_1733375833981_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
57,2,"너와의 모든 지금","재쓰비 (JAESSBEE)","너와의 모든 지금","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/758/344/85758344_1731048739763_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
58,2,"내 이름 맑음","QWER","2nd Mini Album 'Algorithm's Blossom'","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/556/176/85556176_1727059041255_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
59,2,"POWER","G-DRAGON","POWER","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/729/971/85729971_1730269317798_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
60,2,"내게 사랑이 뭐냐고 물어본다면","로이킴","내게 사랑이 뭐냐고 물어본다면","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/662/151/85662151_1729042126804_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
61,2,"Welcome to the Show","DAY6 (데이식스)","Fourever","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/877/280/84877280_1710728168568_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
62,2,"Drowning","WOODZ","OO-LI","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/570/761/83570761_1682496044865_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
63,2,"한 페이지가 될 수 있게","DAY6 (데이식스)","The Book of Us : Gravity","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/244/101/81244101_1563174738943_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
64,2,"Supernova","aespa","Armageddon - The 1st Album","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/165/232/85165232_1716798792825_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
65,2,"고민중독","QWER","1st Mini Album 'MANITO'","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/934/155/84934155_1711856063083_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
66,2,"UP (KARINA Solo)","aespa","SYNK : PARALLEL LINE - Special Digital Single","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/664/591/85664591_1728366690840_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
67,2,"슬픈 초대장","순순희 (지환)","슬픈 초대장","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/626/244/84626244_1702951496211_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
68,2,"예뻤어","DAY6 (데이식스)","Every DAY6 February","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/919/666/80919666_1486113823984_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
69,2,"천상연","이창섭","천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/815/509/84815509_1708311688384_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
70,2,"Mantra","제니 (JENNIE)","Mantra","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/672/947/85672947_1728543992528_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
71,2,"나는 아픈 건 딱 질색이니까","(여자)아이들","2","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/718/499/84718499_1706517983529_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
72,2,"Love wins all","아이유 (IU)","The Winning","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/729/887/84729887_1708417120198_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
73,2,"에피소드","이무진","에피소드","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/600/370/84600370_1702445165120_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
74,2,"How Sweet","NewJeans","How Sweet","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/075/275/85075275_1716515409009_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
75,2,"첫 만남은 계획대로 되지 않아","TWS (투어스)","TWS 1st Mini Album 'Sparkling Blue'","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/662/081/84662081_1705913418886_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
76,2,"비의 랩소디","임재현","비의 랩소디","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/545/218/84545218_1701255631132_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
77,2,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","AKMU (악뮤)","항해","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/271/853/81271853_1569396403906_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
78,2,"Small girl (Feat. 도경수 (D.O.))","이영지","16 Fantasy","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/338/698/85338698_1718875009670_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
79,2,"DRIP","BABYMONSTER","DRIP","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/729/404/85729404_1730422138405_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
157,4,"사랑은 늘 도망가","임영웅","신사와 아가씨 OST Part.2","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/322/594/82322594_1633671778123_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
158,4,"그랬나봐","유회승 (엔플라잉)","선재 업고 튀어 OST Part 6","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/096/191/85096191_1714711253038_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
159,4,"첫눈처럼 너에게 가겠다","에일리 (Ailee)","도깨비 OST Part 9 (tvN 금토드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/911/488/80911488_1483696444510_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
160,4,"내가 널 지켜줄게","폴킴","내가 널 지켜줄게 (나의 완벽한 비서 OST Special Track)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/899/585/85899585_1735545556502_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
161,4,"흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야","장범준","멜로가 체질 OST Part 3 (JTBC 금토 드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/260/027/81260027_1566538606488_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
162,4,"내 손을 잡아","아이유 (IU)","최고의 사랑 OST Part.4 (MBC 수목드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/257/897/80257897_1306206125910_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
163,4,"그대가 있는 곳, 언제 어디든","로이킴","로이킴 X 마이데몬","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/549/076/84549076_1701333515187_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
164,4,"아로하","조정석","슬기로운 의사생활 OST Part 3 (tvN 목요드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/398/219/81398219_1585214325118_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
165,4,"꿈","태연 (TAEYEON)","웰컴투 삼달리 OST Part.3","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/611/536/84611536_1702626361255_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
166,4,"시작","가호 (Gaho)","이태원 클라쓰 OST Part.2 (JTBC 금토드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/352/464/81352464_1580457691124_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
167,4,"있잖아","폴킴","연애플레이리스트2 OST Part.2","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/969/270/80969270_1500622894492_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
168,4,"Steal The Show","Lauv","엘리멘탈 (Original Motion Picture Soundtrack)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/932/963/83932963_1686789037649_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
169,4,"눈의 꽃","박효신","눈의 꽃","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/070/953/411/70953411_1404724631213_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
170,4,"살기 위해서","노을","빠담빠담 OST Part.1 (JTBC 월화드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/276/008/80276008_1322809250651_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
171,4,"Run Run","이클립스 (ECLIPSE)","선재 업고 튀어 OST Part 1","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/416/267/84416267_1712539030215_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
172,4,"응급실","izi","쾌걸춘향 OST","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/029/371/15029371_1342400749964_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
173,4,"봄눈","10CM","선재 업고 튀어 OST Part 8","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/141/743/85141743_1715587978264_1_140x140.JPG/dims/resize/Q_80,0",5,"상승","",0
174,4,"안녕","폴킴","호텔 델루나 OST Part.10 (tvN 토일드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/256/205/81256205_1565592764970_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
175,4,"너였다면","정승환","또 오해영 OST Part 5 (tvN 월화드라마)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/825/298/80825298_1464599145751_1_140x140.JPG/dims/resize/Q_80,0",2,"상승","",0
